ID,Name,Period,Revenue,COGS,Gross Profit,Operating Expenses,Net Income,Gross Margin %,Net Margin %,Comments
1,Alpha Inc,2019-Q1,160597,110856.54736606865,49740.452633931345,12075.56926867467,37664.883365256675,30.97,23.45,Auto-generated data
2,Beta Co,2019-Q1,137597,73973.80014492711,63623.19985507289,18025.26263319551,45597.93722187738,46.24,33.14,Auto-generated data
3,Gamma LLC,2019-Q1,121379,71197.84827463841,50181.15172536159,17890.19592786613,32290.95579749546,41.34,26.6,Auto-generated data
4,Delta Corp,2019-Q1,89046,56240.23707670486,32805.76292329514,10877.411222463135,21928.351700832,36.84,24.63,Auto-generated data
5,Epsilon Ltd,2019-Q1,140861,83182.38657052566,57678.61342947434,27751.304781746476,29927.308647727863,40.95,21.25,Auto-generated data
6,Alpha Inc,2019-Q2,196752,90145.59602759662,106606.40397240338,46626.88958786858,59979.5143845348,54.18,30.48,Auto-generated data
7,Beta Co,2019-Q2,64413,32421.115929414984,31991.884070585016,10402.91781962431,21588.966250960708,49.67,33.52,Auto-generated data
8,Gamma LLC,2019-Q2,54749,28740.010852678253,26008.989147321747,11053.993753265604,14954.995394056143,47.51,27.32,Auto-generated data
9,Delta Corp,2019-Q2,126158,57351.642211507016,68806.35778849298,29477.617221682933,39328.740566810055,54.54,31.17,Auto-generated data
10,Epsilon Ltd,2019-Q2,170222,72142.88411895158,98079.11588104842,29748.231068431473,68330.88481261695,57.62,40.14,Auto-generated data
11,Alpha Inc,2019-Q3,188000,127637.63810753338,60362.36189246662,15575.23871698048,44787.123175486144,32.11,23.82,Auto-generated data
12,Beta Co,2019-Q3,75102,31134.062095292033,43967.93790470797,13401.387647187674,30566.5502575203,58.54,40.7,Auto-generated data
13,Gamma LLC,2019-Q3,130057,90834.92867798921,39222.07132201079,9391.875512588807,29830.19580942198,30.16,22.94,Auto-generated data
14,Delta Corp,2019-Q3,71315,47187.681071522544,24127.318928477456,5698.163187401342,18429.155741076116,33.83,25.84,Auto-generated data
15,Epsilon Ltd,2019-Q3,144722,92187.36460948011,52534.63539051989,17046.187384216468,35488.44800630343,36.3,24.52,Auto-generated data
16,Alpha Inc,2019-Q4,153358,93794.92415896969,59563.07584103031,15596.207625968724,43966.868215061586,38.84,28.67,Auto-generated data
17,Beta Co,2019-Q4,167986,80941.6432131911,87044.3567868089,38624.756161508005,48419.600625300896,51.82,28.82,Auto-generated data
18,Gamma LLC,2019-Q4,168511,69328.56799884561,99182.43200115439,26277.95646590461,72904.47553524977,58.86,43.26,Auto-generated data
19,Delta Corp,2019-Q4,143503,92659.39393168717,50843.60606831283,17144.879560846734,33698.7265074661,35.43,23.48,Auto-generated data
20,Epsilon Ltd,2019-Q4,118793,58392.487664603344,60400.512335396656,19636.83779869162,40763.67453670503,50.85,34.31,Auto-generated data
21,Alpha Inc,2020-Q1,60670,34923.61667678529,25746.383323214708,5843.389265434177,19902.994057780532,42.44,32.81,Auto-generated data
22,Beta Co,2020-Q1,151685,104391.73142025714,47293.26857974286,14846.319151671167,32446.94942807169,31.18,21.39,Auto-generated data
23,Gamma LLC,2020-Q1,54656,24026.062305514613,30629.937694485387,11719.621352442873,18910.31634204251,56.04,34.6,Auto-generated data
24,Delta Corp,2020-Q1,152245,88971.99265590051,63273.00734409949,15970.506653804232,47302.50069029526,41.56,31.07,Auto-generated data
25,Epsilon Ltd,2020-Q1,122996,52460.141360265894,70535.8586397341,24201.28439635555,46334.57424337855,57.35,37.67,Auto-generated data
26,Alpha Inc,2020-Q2,68406,44513.24849265899,23892.75150734101,11642.21688026635,12250.534627074661,34.93,17.91,Auto-generated data
27,Beta Co,2020-Q2,135983,81029.57748824281,54953.42251175719,12168.157508021353,42785.26500373584,40.41,31.46,Auto-generated data
28,Gamma LLC,2020-Q2,174751,108991.7186999223,65759.2813000777,14339.49362137649,51419.78767870121,37.63,29.42,Auto-generated data
29,Delta Corp,2020-Q2,158106,93156.964424524,64949.035575475995,15848.070418236584,49100.96515723941,41.08,31.06,Auto-generated data
30,Epsilon Ltd,2020-Q2,197301,110121.18491797167,87179.81508202833,21871.099476915908,65308.715605112426,44.19,33.1,Auto-generated data
31,Alpha Inc,2020-Q3,192466,121609.51158591176,70856.48841408824,30564.990721796665,40291.49769229157,36.82,20.93,Auto-generated data
32,Beta Co,2020-Q3,96576,54660.20900384915,41915.79099615085,19508.274480623953,22407.516515526895,43.4,23.2,Auto-generated data
33,Gamma LLC,2020-Q3,189520,124755.4854265422,64764.514573457796,15291.745024881888,49472.76954857591,34.17,26.1,Auto-generated data
34,Delta Corp,2020-Q3,150537,77227.2492347774,73309.7507652226,28207.493490330868,45102.25727489174,48.7,29.96,Auto-generated data
35,Epsilon Ltd,2020-Q3,119895,79994.62929437266,39900.37070562734,17464.930374320535,22435.440331306807,33.28,18.71,Auto-generated data
36,Alpha Inc,2020-Q4,127993,73346.42932708714,54646.57067291286,26126.229339667185,28520.341333245673,42.69,22.28,Auto-generated data
37,Beta Co,2020-Q4,169535,111467.39398573941,58067.606014260586,22401.705094108136,35665.900920152446,34.25,21.04,Auto-generated data
